"","country","year","start","exports","schooling","growth","peace","concentration","lnpop","fractionalization","dominance"
"519","Iran",1990,0,0.123000003397465,62,-3.51099991798401,121,0.492000013589859,17.7994804382324,380,0
"520","Iran",1995,0,0.155000001192093,76,1.307000041008,181,0.485000014305115,17.9293308258057,380,0
"521","Iraq",1960,1,0.270000010728836,29,NA,10,0.59799998998642,15.7393198013306,360,1
"522","Iraq",1965,0,0.270000010728836,42,5.05299997329712,13,0.59799998998642,15.8919496536255,360,1
"523","Iraq",1970,1,0.239999994635582,34,-0.0140000004321337,73,0.59799998998642,16.0515308380127,360,1
"524","Iraq",1975,NA,0.00600000005215406,48,4.28700017929077,NA,0.59799998998642,16.2152194976807,360,1
"525","Iraq",1980,0,0.439999997615814,76,5.63800001144409,57,0.59799998998642,16.3810005187988,324,1
"526","Iraq",1985,1,0.219999998807907,68,-10.6639995574951,117,0.59799998998642,16.544469833374,324,1
"527","Iraq",1990,NA,0.273000001907349,57,NA,NA,0.59799998998642,16.7102108001709,324,1
"528","Iraq",1995,0,0.273000001907349,43,NA,46,0.602999985218048,16.8494491577148,324,1
"529","Ireland",1960,0,0.151999995112419,35,NA,172,0.49099999666214,14.8564901351929,54,0
"530","Ireland",1965,0,0.151999995112419,53,3.78099989891052,232,0.49099999666214,14.8719100952148,54,0
"531","Ireland",1970,0,0.151999995112419,71,4.52299976348877,292,0.49099999666214,14.8973197937012,54,0
"532","Ireland",1975,0,0.202999994158745,82,2.92899990081787,352,0.49099999666214,14.9714498519897,54,0
"533","Ireland",1980,0,0.185000002384186,85,3.2279999256134,412,0.49099999666214,15.0395803451538,54,0
"534","Ireland",1985,0,0.166999995708466,93,1.28299999237061,472,0.49099999666214,15.0796403884888,54,0
"535","Ireland",1990,0,0.14300000667572,96,4.85500001907349,532,0.49099999666214,15.0699300765991,54,0
"536","Ireland",1995,0,0.146999999880791,111,4.78399991989136,592,0.49099999666214,15.09255027771,54,0
"537","Israel",1960,0,0.0410000011324883,48,NA,172,0.755999982357025,14.5640897750854,462,1
"538","Israel",1965,0,0.0410000011324883,46,5.78800010681152,232,0.755999982357025,14.7566900253296,462,1
"539","Israel",1970,0,0.0410000011324883,54,5.13700008392334,292,0.755999982357025,14.9054203033447,462,1
"540","Israel",1975,0,0.034000001847744,60,4.43400001525879,352,0.755999982357025,15.0553302764893,462,1
"541","Israel",1980,0,0.0439999997615814,73,1.04299998283386,412,0.755999982357025,15.1708297729492,441,1
"542","Israel",1985,0,0.0399999991059303,76,1.02499997615814,472,0.755999982357025,15.2584199905396,441,1
"543","Israel",1990,0,0.028999999165535,82,2.24699997901917,532,0.755999982357025,15.3545303344727,441,1
"544","Israel",1995,0,0.0179999992251396,89,3.41799998283386,592,0.735000014305115,15.5284099578857,441,1
"545","Italy",1960,0,0.0240000002086163,40,NA,172,0.419999986886978,17.7315292358398,85,0
"546","Italy",1965,0,0.0240000002086163,53,4.41400003433228,232,0.419999986886978,17.7689094543457,85,0
"547","Italy",1970,0,0.0209999997168779,66,5.70100021362305,292,0.419999986886978,17.8011894226074,85,0
"548","Italy",1975,0,0.0270000007003546,74,1.80299997329712,352,0.419999986886978,17.8308296203613,115,0
"549","Italy",1980,0,0.0260000005364418,73,4.4060001373291,412,0.419999986886978,17.8485794067383,140,0
"550","Italy",1985,0,0.0270000007003546,74,0.917999982833862,472,0.419999986886978,17.8514003753662,140,0
"551","Italy",1990,0,0.0160000007599592,79,2.89000010490417,532,0.419999986886978,17.8536205291748,140,0
"552","Italy",1995,0,0.0209999997168779,87,1.08899998664856,592,0.421000003814697,17.8621292114258,140,0
"553","Ivory Coast",1960,0,0.287000000476837,4,NA,172,0.573000013828278,15.1449699401855,5246,0
"554","Ivory Coast",1965,0,0.287000000476837,10,4.46299982070923,232,0.573000013828278,15.3195896148682,5246,0
"555","Ivory Coast",1970,0,0.303999990224838,13,2.85700011253357,292,0.573000013828278,15.5220804214478,5246,0
"556","Ivory Coast",1975,0,0.266999989748001,18,2.34599995613098,352,0.573000013828278,15.7257900238037,5332,0
"557","Ivory Coast",1980,0,0.284999996423721,26,-0.287999987602234,412,0.573000013828278,15.9189100265503,5504,0
"558","Ivory Coast",1985,0,0.342999994754791,27,-2.94400000572205,472,0.573000013828278,16.1113700866699,5504,0
"559","Ivory Coast",1990,0,0.298000007867813,30,-4.83900022506714,532,0.573000013828278,16.2982501983643,5504,0
"560","Ivory Coast",1995,0,0.546999990940094,30,-1.70299994945526,592,0.587999999523163,16.4529991149902,5504,0
"561","Jamaica",1960,0,0.104000002145767,44,NA,172,0.35699999332428,14.3034801483154,246,0
"562","Jamaica",1965,0,0.104000002145767,53,3.42300009727478,232,0.35699999332428,14.380820274353,246,0
"563","Jamaica",1970,0,0.100000001490116,46,4.5770001411438,292,0.35699999332428,14.4409103393555,246,0
"564","Jamaica",1975,0,0.123000003397465,53,1.95099997520447,352,0.35699999332428,14.5151395797729,258,0
